route,decision,reason,confidence,conflictRoutes,topicOwner,action
/admin/seo/products/catit-pixi-smart-6-meal-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/catit-pixi-smart-6-meal-feeder/,NOINDEX
/admin/seo/products/catit-pixi-vision-smart-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/catit-pixi-vision-smart-feeder/,NOINDEX
/admin/seo/products/enabot-ebo-air-2/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/enabot-ebo-air-2/,NOINDEX
/admin/seo/products/furbo-360-hundekamera/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/furbo-360-hundekamera/,NOINDEX
/admin/seo/products/garmin-alpha-t-20/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/garmin-alpha-t-20/,NOINDEX
/admin/seo/products/garmin-alpha-tt-25/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/garmin-alpha-tt-25/,NOINDEX
/admin/seo/products/honeyguardian-a305d/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/honeyguardian-a305d/,NOINDEX
/admin/seo/products/honeyguardian-a68/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/honeyguardian-a68/,NOINDEX
/admin/seo/products/honeyguardian-smart-pet-feeder-s305d/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/honeyguardian-smart-pet-feeder-s305d/,NOINDEX
/admin/seo/products/imipaw-3l-automatic-cat-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/imipaw-3l-automatic-cat-feeder/,NOINDEX
/admin/seo/products/litter-robot-5-pro/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/litter-robot-5-pro/,NOINDEX
/admin/seo/products/neakasa-m1-plus/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/neakasa-m1-plus/,NOINDEX
/admin/seo/products/oneisall-2-2l-cordless-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/oneisall-2-2l-cordless-fountain/,NOINDEX
/admin/seo/products/oneisall-2-in-1-feeder-water/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/oneisall-2-in-1-feeder-water/,NOINDEX
/admin/seo/products/oneisall-3-2l-cordless-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/oneisall-3-2l-cordless-fountain/,NOINDEX
/admin/seo/products/oneisall-3-5l-cordless-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/oneisall-3-5l-cordless-fountain/,NOINDEX
/admin/seo/products/oneisall-5l-automatic-cat-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/oneisall-5l-automatic-cat-feeder/,NOINDEX
/admin/seo/products/oneisall-7l-dog-water-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/oneisall-7l-dog-water-fountain/,NOINDEX
/admin/seo/products/onlycat-mikrochip-katzenklappe/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/onlycat-mikrochip-katzenklappe/,NOINDEX
/admin/seo/products/paj-pet-finder-4g-mini/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/paj-pet-finder-4g-mini/,NOINDEX
/admin/seo/products/pawbby-smart-pet-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/pawbby-smart-pet-feeder/,NOINDEX
/admin/seo/products/pawsync-smart-pet-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/pawsync-smart-pet-feeder/,NOINDEX
/admin/seo/products/petkit-eversweet-3-pro-uvc/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-eversweet-3-pro-uvc/,NOINDEX
/admin/seo/products/petkit-eversweet-5-mini/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-eversweet-5-mini/,NOINDEX
/admin/seo/products/petkit-eversweet-max-2-uvc/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-eversweet-max-2-uvc/,NOINDEX
/admin/seo/products/petkit-eversweet-max-cordless/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-eversweet-max-cordless/,NOINDEX
/admin/seo/products/petkit-eversweet-solo-2-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-eversweet-solo-2-fountain/,NOINDEX
/admin/seo/products/petkit-eversweet-solo-se/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-eversweet-solo-se/,NOINDEX
/admin/seo/products/petkit-eversweet-ultra/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-eversweet-ultra/,NOINDEX
/admin/seo/products/petkit-fresh-element-infinity/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-fresh-element-infinity/,NOINDEX
/admin/seo/products/petkit-fresh-element-solo/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-fresh-element-solo/,NOINDEX
/admin/seo/products/petkit-purobot-max-pro-2/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-purobot-max-pro-2/,NOINDEX
/admin/seo/products/petkit-yumshare-dual-hopper/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-yumshare-dual-hopper/,NOINDEX
/admin/seo/products/petkit-yumshare-solo-2/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petkit-yumshare-solo-2/,NOINDEX
/admin/seo/products/petlibro-air-automatic-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-air-automatic-feeder/,NOINDEX
/admin/seo/products/petlibro-air-wifi-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-air-wifi-feeder/,NOINDEX
/admin/seo/products/petlibro-capsule-dog-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-capsule-dog-fountain/,NOINDEX
/admin/seo/products/petlibro-dockstream-2-smart-cordless/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-dockstream-2-smart-cordless/,NOINDEX
/admin/seo/products/petlibro-dockstream-2-smart/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-dockstream-2-smart/,NOINDEX
/admin/seo/products/petlibro-dockstream-cordless/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-dockstream-cordless/,NOINDEX
/admin/seo/products/petlibro-dockstream-rfid-smart/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-dockstream-rfid-smart/,NOINDEX
/admin/seo/products/petlibro-glacier-ultrafiltration/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-glacier-ultrafiltration/,NOINDEX
/admin/seo/products/petlibro-granary-2-vision/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-granary-2-vision/,NOINDEX
/admin/seo/products/petlibro-granary-camera-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-granary-camera-feeder/,NOINDEX
/admin/seo/products/petlibro-granary-dual-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-granary-dual-feeder/,NOINDEX
/admin/seo/products/petlibro-granary-wifi-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-granary-wifi-feeder/,NOINDEX
/admin/seo/products/petlibro-one-rfid-smart-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-one-rfid-smart-feeder/,NOINDEX
/admin/seo/products/petlibro-polar-wet-food-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-polar-wet-food-feeder/,NOINDEX
/admin/seo/products/petlibro-scout-smart-camera/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-scout-smart-camera/,NOINDEX
/admin/seo/products/petlibro-space-smart-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-space-smart-feeder/,NOINDEX
/admin/seo/products/petlibro-stainless-steel-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petlibro-stainless-steel-fountain/,NOINDEX
/admin/seo/products/petsafe-freshfeed-refrigerated-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petsafe-freshfeed-refrigerated-feeder/,NOINDEX
/admin/seo/products/petsafe-healthy-pet-simply-feed/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petsafe-healthy-pet-simply-feed/,NOINDEX
/admin/seo/products/petsafe-mikrochip-katzenklappe/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petsafe-mikrochip-katzenklappe/,NOINDEX
/admin/seo/products/petsafe-petporte-smart-flap/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petsafe-petporte-smart-flap/,NOINDEX
/admin/seo/products/petsafe-smart-feed-2/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petsafe-smart-feed-2/,NOINDEX
/admin/seo/products/petwalk-medium-tiertuer/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/petwalk-medium-tiertuer/,NOINDEX
/admin/seo/products/surefeed-microchip-pet-feeder-connect/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/surefeed-microchip-pet-feeder-connect/,NOINDEX
/admin/seo/products/surefeed-microchip-pet-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/surefeed-microchip-pet-feeder/,NOINDEX
/admin/seo/products/sureflap-dualscan-mikrochip-katzenklappe/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/sureflap-dualscan-mikrochip-katzenklappe/,NOINDEX
/admin/seo/products/sureflap-mikrochip-katzenklappe-connect/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/sureflap-mikrochip-katzenklappe-connect/,NOINDEX
/admin/seo/products/sureflap-mikrochip-katzenklappe/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/sureflap-mikrochip-katzenklappe/,NOINDEX
/admin/seo/products/tractive-cat-6-mini/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/tractive-cat-6-mini/,NOINDEX
/admin/seo/products/tractive-dog-6-xl/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/tractive-dog-6-xl/,NOINDEX
/admin/seo/products/tractive-dog-6/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/tractive-dog-6/,NOINDEX
/admin/seo/products/weenect-xs/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/weenect-xs/,NOINDEX
/admin/seo/products/weenect-xt/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/weenect-xt/,NOINDEX
/admin/seo/products/wopet-cube-air-ca10/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/wopet-cube-air-ca10/,NOINDEX
/admin/seo/products/wopet-heritage-view-camera-feeder/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/wopet-heritage-view-camera-feeder/,NOINDEX
/admin/seo/products/wopet-patrol-f07-pro/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/wopet-patrol-f07-pro/,NOINDEX
/admin/seo/products/wopet-pioneer-f01-plus/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/wopet-pioneer-f01-plus/,NOINDEX
/admin/seo/products/xiaomi-smart-pet-food-feeder-2/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/xiaomi-smart-pet-food-feeder-2/,NOINDEX
/admin/seo/products/xiaomi-smart-pet-fountain-2/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/xiaomi-smart-pet-fountain-2/,NOINDEX
/admin/seo/products/zeromouse-2-0/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/zeromouse-2-0/,NOINDEX
/admin/seo/prompts/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/prompts/,NOINDEX
/admin/seo/tasks/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/tasks/,NOINDEX
/admin/seo/topical-authority/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/topical-authority/,NOINDEX
/affiliate-hinweis/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/affiliate-hinweis/,KEEP
/automatische-katzentoiletten/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/automatische-katzentoiletten/,KEEP
/berater/futterautomat/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/berater/futterautomat/,KEEP
/biofilm-im-katzentrinkbrunnen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/biofilm-im-katzentrinkbrunnen/,KEEP
/datenschutz-bei-gps-trackern/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/datenschutz-bei-gps-trackern/,KEEP
/datenschutz/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/datenschutz/,KEEP
/filter-im-katzentrinkbrunnen-wechseln/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/filter-im-katzentrinkbrunnen-wechseln/,KEEP
/fuetterungszeiten-nach-alter/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/fuetterungszeiten-nach-alter/,KEEP
/futterautomat-bei-stromausfall/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-bei-stromausfall/,KEEP
/futterautomat-bei-uebergewicht/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-bei-uebergewicht/,KEEP
/futterautomat-berater/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-berater/,KEEP
/futterautomat-hund/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-hund/,KEEP
/futterautomat-im-urlaub/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-im-urlaub/,KEEP
/futterautomat-katze/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-katze/,KEEP
/futterautomat-richtig-reinigen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-richtig-reinigen/,KEEP
/futterautomat-und-ernaehrung/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futterautomat-und-ernaehrung/,KEEP
/futtermenge-hund/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futtermenge-hund/,KEEP
/futtermenge-katze/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/futtermenge-katze/,KEEP
/gps-oder-bluetooth/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/gps-oder-bluetooth/,KEEP
/gps-tracker-oder-bluetooth-tag/,CONSOLIDATE,"Beide Ratgeber beantworten dieselbe Systementscheidung. Die Zielseite ist technisch präziser, besser intern eingebunden und besitzt das belastbarere Quellenfundament.",high,/gps-oder-bluetooth/,/gps-oder-bluetooth/,Redirect und interne Links auf Zielinhaber
/gps-tracker-richtig-befestigen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/gps-tracker-richtig-befestigen/,KEEP
/gps-tracker/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/gps-tracker/,KEEP
/haustierkameras/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/haustierkameras/,KEEP
/hersteller/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/,KEEP
/hersteller/aqara/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/aqara/,KEEP
/hersteller/cat-mate/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/cat-mate/,KEEP
/hersteller/catit/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/catit/,KEEP
/hersteller/enabot/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/enabot/,KEEP
/hersteller/furbo/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/furbo/,KEEP
/hersteller/garmin/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/garmin/,KEEP
/hersteller/honeyguardian/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/honeyguardian/,KEEP
/hersteller/imipaw/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/imipaw/,KEEP
/hersteller/neakasa/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/neakasa/,KEEP
/hersteller/oneisall/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/oneisall/,KEEP
/hersteller/onlycat/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/onlycat/,KEEP
/hersteller/paj-gps/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/paj-gps/,KEEP
/hersteller/pawbby/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/pawbby/,KEEP
/hersteller/pawsync/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/pawsync/,KEEP
/hersteller/petkit/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/petkit/,KEEP
/hersteller/petlibro/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/petlibro/,KEEP
/hersteller/petsafe/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/petsafe/,KEEP
/hersteller/petwalk/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/petwalk/,KEEP
/hersteller/surefeed/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/surefeed/,KEEP
/hersteller/tractive/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/tractive/,KEEP
/hersteller/weenect/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/weenect/,KEEP
/hersteller/whisker/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/whisker/,KEEP
/hersteller/wopet/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/wopet/,KEEP
/hersteller/xiaomi/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/xiaomi/,KEEP
/hersteller/zeromouse/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hersteller/zeromouse/,KEEP
/hund-entlaufen-gps-sinnvoll/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-entlaufen-gps-sinnvoll/,KEEP
/hund-frisst-nicht/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-frisst-nicht/,KEEP
/hund-frisst-zu-schnell/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-frisst-zu-schnell/,KEEP
/hund-hat-durchfall/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-hat-durchfall/,KEEP
/hund-ist-muede/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-ist-muede/,KEEP
/hund-trinkt-ploetzlich-viel/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-trinkt-ploetzlich-viel/,KEEP
/hund-trinkt-viel/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-trinkt-viel/,KEEP
/hund-trinkt-zu-wenig/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/hund-trinkt-zu-wenig/,KEEP
/impressum/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/impressum/,KEEP
/kalk-katzentrinkbrunnen-entfernen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/kalk-katzentrinkbrunnen-entfernen/,KEEP
/katze-an-katzenklappe-gewoehnen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katze-an-katzenklappe-gewoehnen/,KEEP
/katze-an-trinkbrunnen-gewoehnen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katze-an-trinkbrunnen-gewoehnen/,KEEP
/katze-entlaufen-gps-sinnvoll/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katze-entlaufen-gps-sinnvoll/,KEEP
/katze-frisst-nicht/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katze-frisst-nicht/,KEEP
/katze-trinkt-viel/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katze-trinkt-viel/,KEEP
/katzenklappe-einbauen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzenklappe-einbauen/,KEEP
/katzenklappe-fuer-mehrere-katzen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzenklappe-fuer-mehrere-katzen/,KEEP
/katzenklappe-zugluft-und-waermedaemmung/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzenklappe-zugluft-und-waermedaemmung/,KEEP
/katzenklappen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzenklappen/,KEEP
/katzentrinkbrunnen-dauerbetrieb-urlaub/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzentrinkbrunnen-dauerbetrieb-urlaub/,KEEP
/katzentrinkbrunnen-laut-pumpe/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzentrinkbrunnen-laut-pumpe/,KEEP
/katzentrinkbrunnen-material-edelstahl-keramik-kunststoff/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzentrinkbrunnen-material-edelstahl-keramik-kunststoff/,KEEP
/katzentrinkbrunnen-ohne-filter/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzentrinkbrunnen-ohne-filter/,KEEP
/katzentrinkbrunnen-richtig-reinigen/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzentrinkbrunnen-richtig-reinigen/,KEEP
/katzenwasser-taeglich-wechseln/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/katzenwasser-taeglich-wechseln/,KEEP
/kaufberatung/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/kaufberatung/,KEEP
/kontakt/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/kontakt/,KEEP
/nierenkranke-katze-trinken/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/nierenkranke-katze-trinken/,KEEP
/produkt/aqara-smart-pet-feeder-c1/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/produkt/aqara-smart-pet-feeder-c1/,KEEP
